"","year","sport","count","country","gdp","pop"
"213",1992,"Judo",1,"Poland",94337050693.2727,38363667
"214",1992,"Modern Pentathlon",4,"Poland",94337050693.2727,38363667
"215",1992,"Rowing",6,"Poland",94337050693.2727,38363667
"216",1992,"Shooting",1,"Poland",94337050693.2727,38363667
"217",1992,"Weightlifting",3,"Poland",94337050693.2727,38363667
"218",1992,"Wrestling",2,"Poland",94337050693.2727,38363667
"219",1992,"Boxing",2,"North Korea",NA,20937404
"220",1992,"Gymnastics",1,"North Korea",NA,20937404
"221",1992,"Table Tennis",3,"North Korea",NA,20937404
"222",1992,"Weightlifting",1,"North Korea",NA,20937404
"223",1992,"Wrestling",3,"North Korea",NA,20937404
"224",1992,"Boxing",1,"Puerto Rico",34630430000,3585176
"225",1992,"Athletics",1,"Qatar",7646153983.51648,495517
"226",1992,"Athletics",1,"Romania",25121666666.6667,22794284
"227",1992,"Boxing",1,"Romania",25121666666.6667,22794284
"228",1992,"Fencing",5,"Romania",25121666666.6667,22794284
"229",1992,"Gymnastics",10,"Romania",25121666666.6667,22794284
"230",1992,"Rowing",33,"Romania",25121666666.6667,22794284
"231",1992,"Shooting",1,"Romania",25121666666.6667,22794284
"232",1992,"Weightlifting",1,"Romania",25121666666.6667,22794284
"233",1992,"Wrestling",1,"Romania",25121666666.6667,22794284
"234",1992,"Athletics",1,"South Africa",134545231416.55,39360225
"235",1992,"Tennis",2,"South Africa",134545231416.55,39360225
"236",1992,"Rowing",6,"Slovenia",NA,1996498
"237",1992,"Tennis",1,"Switzerland",271814366804.153,6875364
"238",1992,"Aquatics",1,"Suriname",404600000,422763
"239",1992,"Aquatics",6,"Sweden",280312318915.485,8668067
"240",1992,"Athletics",1,"Sweden",280312318915.485,8668067
"241",1992,"Canoe / Kayak",8,"Sweden",280312318915.485,8668067
"242",1992,"Handball",16,"Sweden",280312318915.485,8668067
"243",1992,"Shooting",1,"Sweden",280312318915.485,8668067
"244",1992,"Table Tennis",1,"Sweden",280312318915.485,8668067
"245",1992,"Wrestling",2,"Sweden",280312318915.485,8668067
"246",1992,"Athletics",2,"Czechoslovakia",34590052812.1684,10319123
"247",1992,"Canoe / Kayak",3,"Czechoslovakia",34590052812.1684,10319123
"248",1992,"Rowing",1,"Czechoslovakia",34590052812.1684,10319123
"249",1992,"Shooting",2,"Czechoslovakia",34590052812.1684,10319123
"250",1992,"Boxing",1,"Thailand",111452869378.467,57837878
"251",1992,"Baseball",20,"Taiwan",NA,NA
"252",1992,"Judo",1,"Turkey",158459130434.783,55748875
"253",1992,"Weightlifting",1,"Turkey",158459130434.783,55748875
"254",1992,"Wrestling",4,"Turkey",158459130434.783,55748875
"255",1992,"Aquatics",62,"United States",6.539299e+12,256514000
"256",1992,"Athletics",48,"United States",6.539299e+12,256514000
"257",1992,"Basketball",24,"United States",6.539299e+12,256514000
"258",1992,"Boxing",3,"United States",6.539299e+12,256514000
"259",1992,"Canoe / Kayak",4,"United States",6.539299e+12,256514000
"260",1992,"Cycling",2,"United States",6.539299e+12,256514000
"261",1992,"Equestrian",5,"United States",6.539299e+12,256514000
"262",1992,"Gymnastics",11,"United States",6.539299e+12,256514000
"263",1992,"Judo",1,"United States",6.539299e+12,256514000
"264",1992,"Rowing",10,"United States",6.539299e+12,256514000
"265",1992,"Sailing",16,"United States",6.539299e+12,256514000
"266",1992,"Shooting",2,"United States",6.539299e+12,256514000
"267",1992,"Tennis",4,"United States",6.539299e+12,256514000
"268",1992,"Volleyball",24,"United States",6.539299e+12,256514000
"269",1992,"Wrestling",8,"United States",6.539299e+12,256514000
"270",1996,"Athletics",1,"Algeria",46941496779.8499,29411415
"271",1996,"Athletics",1,"Algeria",46941496779.8499,29411415
"272",1996,"Boxing",2,"Algeria",46941496779.8499,29411415
"273",1996,"Boxing",2,"Algeria",46941496779.8499,29411415
"274",1996,"Boxing",1,"Argentina",272149750000,35419682
"275",1996,"Football",18,"Argentina",272149750000,35419682
"276",1996,"Sailing",1,"Argentina",272149750000,35419682
"277",1996,"Wrestling",2,"Armenia",1596968913.27897,3168215
"278",1996,"Aquatics",25,"Australia",400302731411.229,18311000
"279",1996,"Athletics",2,"Australia",400302731411.229,18311000
"280",1996,"Basketball",12,"Australia",400302731411.229,18311000
"281",1996,"Canoe / Kayak",5,"Australia",400302731411.229,18311000
"282",1996,"Cycling",9,"Australia",400302731411.229,18311000
"283",1996,"Equestrian",4,"Australia",400302731411.229,18311000
"284",1996,"Hockey",32,"Australia",400302731411.229,18311000
"285",1996,"Rowing",16,"Australia",400302731411.229,18311000
"286",1996,"Sailing",4,"Australia",400302731411.229,18311000
"287",1996,"Shooting",3,"Australia",400302731411.229,18311000
"288",1996,"Softball",15,"Australia",400302731411.229,18311000
"289",1996,"Tennis",2,"Australia",400302731411.229,18311000
"290",1996,"Volleyball",2,"Australia",400302731411.229,18311000
"291",1996,"Weightlifting",1,"Australia",400302731411.229,18311000
"292",1996,"Athletics",1,"Austria",237250948791.266,7959017
"293",1996,"Shooting",2,"Austria",237250948791.266,7959017
"294",1996,"Wrestling",1,"Azerbaijan",3176749593.11788,7763000
"295",1996,"Athletics",5,"Bahamas",3.609e+09,283790
"296",1996,"Athletics",1,"Burundi",869033856.317093,6041112
"297",1996,"Aquatics",1,"Belgium",281358175895.766,10156637
"298",1996,"Judo",4,"Belgium",281358175895.766,10156637
"299",1996,"Sailing",1,"Belgium",281358175895.766,10156637
"300",1996,"Athletics",4,"Belarus",14756846153.8462,10160000
"301",1996,"Gymnastics",4,"Belarus",14756846153.8462,10160000
"302",1996,"Rowing",10,"Belarus",14756846153.8462,10160000
"303",1996,"Shooting",1,"Belarus",14756846153.8462,10160000
"304",1996,"Wrestling",4,"Belarus",14756846153.8462,10160000
"305",1996,"Aquatics",3,"Brazil",850426432991.742,164913306
"306",1996,"Athletics",4,"Brazil",850426432991.742,164913306
"307",1996,"Basketball",12,"Brazil",850426432991.742,164913306
"308",1996,"Equestrian",4,"Brazil",850426432991.742,164913306
"309",1996,"Football",18,"Brazil",850426432991.742,164913306
"310",1996,"Judo",2,"Brazil",850426432991.742,164913306
"311",1996,"Sailing",5,"Brazil",850426432991.742,164913306
"312",1996,"Volleyball",16,"Brazil",850426432991.742,164913306
"313",1996,"Athletics",1,"Bulgaria",10109612141.6526,8362826
"314",1996,"Boxing",3,"Bulgaria",10109612141.6526,8362826
"315",1996,"Canoe / Kayak",2,"Bulgaria",10109612141.6526,8362826
"316",1996,"Gymnastics",7,"Bulgaria",10109612141.6526,8362826
"317",1996,"Shooting",4,"Bulgaria",10109612141.6526,8362826
"318",1996,"Weightlifting",3,"Bulgaria",10109612141.6526,8362826
"319",1996,"Wrestling",1,"Bulgaria",10109612141.6526,8362826
"320",1996,"Aquatics",14,"Canada",628546387972.131,29671900
"321",1996,"Athletics",6,"Canada",628546387972.131,29671900
"322",1996,"Boxing",1,"Canada",628546387972.131,29671900
"323",1996,"Canoe / Kayak",1,"Canada",628546387972.131,29671900
"324",1996,"Cycling",5,"Canada",628546387972.131,29671900
"325",1996,"Rowing",21,"Canada",628546387972.131,29671900
"326",1996,"Volleyball",2,"Canada",628546387972.131,29671900
"327",1996,"Wrestling",1,"Canada",628546387972.131,29671900
"328",1996,"Aquatics",17,"China",863746717503.789,1217550000
"329",1996,"Archery",1,"China",863746717503.789,1217550000
"330",1996,"Athletics",4,"China",863746717503.789,1217550000
"331",1996,"Badminton",7,"China",863746717503.789,1217550000
"332",1996,"Football",16,"China",863746717503.789,1217550000
"333",1996,"Gymnastics",12,"China",863746717503.789,1217550000
"334",1996,"Judo",2,"China",863746717503.789,1217550000
"335",1996,"Rowing",2,"China",863746717503.789,1217550000
"336",1996,"Shooting",5,"China",863746717503.789,1217550000
"337",1996,"Softball",15,"China",863746717503.789,1217550000
"338",1996,"Table Tennis",12,"China",863746717503.789,1217550000
"339",1996,"Volleyball",12,"China",863746717503.789,1217550000
"340",1996,"Weightlifting",4,"China",863746717503.789,1217550000
"341",1996,"Wrestling",1,"China",863746717503.789,1217550000
"342",1996,"Aquatics",1,"Costa Rica",11618286553.3677,3596732
"343",1996,"Aquatics",13,"Croatia",23678012697.3612,4494000
"344",1996,"Handball",16,"Croatia",23678012697.3612,4494000
"345",1996,"Aquatics",2,"Cuba",25017300000,10961012
"346",1996,"Athletics",2,"Cuba",25017300000,10961012
"347",1996,"Baseball",20,"Cuba",25017300000,10961012
"348",1996,"Boxing",7,"Cuba",25017300000,10961012
"349",1996,"Fencing",4,"Cuba",25017300000,10961012
"350",1996,"Judo",6,"Cuba",25017300000,10961012
"351",1996,"Volleyball",12,"Cuba",25017300000,10961012
"352",1996,"Weightlifting",1,"Cuba",25017300000,10961012
"353",1996,"Wrestling",3,"Cuba",25017300000,10961012
"354",1996,"Athletics",3,"Czech Republic",66985765439.1937,10315241
"355",1996,"Canoe / Kayak",6,"Czech Republic",66985765439.1937,10315241
"356",1996,"Shooting",1,"Czech Republic",66985765439.1937,10315241
"357",1996,"Tennis",3,"Czech Republic",66985765439.1937,10315241
"358",1996,"Badminton",1,"Denmark",187632400365.599,5263074
"359",1996,"Cycling",1,"Denmark",187632400365.599,5263074
"360",1996,"Handball",16,"Denmark",187632400365.599,5263074
"361",1996,"Rowing",5,"Denmark",187632400365.599,5263074
"362",1996,"Sailing",1,"Denmark",187632400365.599,5263074
"363",1996,"Athletics",1,"Ecuador",25226393196.5983,11683479
"364",1996,"Aquatics",13,"Spain",640998292394.588,39889852
"365",1996,"Athletics",2,"Spain",640998292394.588,39889852
"366",1996,"Boxing",1,"Spain",640998292394.588,39889852
"367",1996,"Cycling",2,"Spain",640998292394.588,39889852
"368",1996,"Gymnastics",6,"Spain",640998292394.588,39889852
"369",1996,"Handball",16,"Spain",640998292394.588,39889852
"370",1996,"Hockey",16,"Spain",640998292394.588,39889852
"371",1996,"Judo",3,"Spain",640998292394.588,39889852
"372",1996,"Sailing",4,"Spain",640998292394.588,39889852
"373",1996,"Tennis",4,"Spain",640998292394.588,39889852
"374",1996,"Athletics",3,"Ethiopia",8547939730.62374,59155148
"375",1996,"Aquatics",1,"Finland",132099404607.818,5124573
"376",1996,"Athletics",2,"Finland",132099404607.818,5124573
"377",1996,"Wrestling",1,"Finland",132099404607.818,5124573
"378",1996,"Athletics",4,"France",1605675086549.56,59753100
"379",1996,"Canoe / Kayak",4,"France",1605675086549.56,59753100
"380",1996,"Cycling",12,"France",1605675086549.56,59753100
"381",1996,"Equestrian",1,"France",1605675086549.56,59753100
"382",1996,"Fencing",11,"France",1605675086549.56,59753100
"383",1996,"Judo",6,"France",1605675086549.56,59753100
"384",1996,"Rowing",10,"France",1605675086549.56,59753100
"385",1996,"Shooting",2,"France",1605675086549.56,59753100
"386",1996,"Wrestling",1,"France",1605675086549.56,59753100
"387",1996,"Aquatics",2,"United Kingdom",1408781591263.65,58166950
"388",1996,"Athletics",11,"United Kingdom",1408781591263.65,58166950
"389",1996,"Cycling",2,"United Kingdom",1408781591263.65,58166950
"390",1996,"Rowing",6,"United Kingdom",1408781591263.65,58166950
"391",1996,"Sailing",3,"United Kingdom",1408781591263.65,58166950
"392",1996,"Tennis",2,"United Kingdom",1408781591263.65,58166950
"393",1996,"Judo",1,"Georgia",3094915505.9093,4616100
"394",1996,"Wrestling",1,"Georgia",3094915505.9093,4616100
"395",1996,"Aquatics",32,"Germany",2503665193657.4,81914831
"396",1996,"Archery",3,"Germany",2503665193657.4,81914831
"397",1996,"Athletics",10,"Germany",2503665193657.4,81914831
"398",1996,"Boxing",4,"Germany",2503665193657.4,81914831
"399",1996,"Canoe / Kayak",20,"Germany",2503665193657.4,81914831
"400",1996,"Cycling",2,"Germany",2503665193657.4,81914831
"401",1996,"Equestrian",10,"Germany",2503665193657.4,81914831
"402",1996,"Fencing",3,"Germany",2503665193657.4,81914831
"403",1996,"Gymnastics",1,"Germany",2503665193657.4,81914831
"404",1996,"Judo",5,"Germany",2503665193657.4,81914831
"405",1996,"Rowing",18,"Germany",2503665193657.4,81914831
"406",1996,"Sailing",3,"Germany",2503665193657.4,81914831
"407",1996,"Shooting",4,"Germany",2503665193657.4,81914831
"408",1996,"Table Tennis",1,"Germany",2503665193657.4,81914831
"409",1996,"Tennis",2,"Germany",2503665193657.4,81914831
"410",1996,"Weightlifting",3,"Germany",2503665193657.4,81914831
"411",1996,"Wrestling",3,"Germany",2503665193657.4,81914831
"412",1996,"Athletics",1,"Greece",145861612825.595,10608800
