"","year","count","country","gdp","pop","host","comm_soviet"
"160",2000,31,"Canada",742293448252.643,30769700,0,"0"
"161",2000,18,"Chile",77860932151.8471,15262754,0,"0"
"162",2000,79,"China",1211346869605.24,1262645000,1,"1"
"163",2000,18,"Cameroon",10083937740.0624,15274234,0,"0"
"164",2000,1,"Colombia",99886577330.7271,40403958,0,"0"
"165",2000,2,"Costa Rica",14949514585.1585,3925443,0,"0"
"166",2000,10,"Croatia",21774273832.1031,4426000,0,"1"
"167",2000,69,"Cuba",30565400000,11150736,0,"1"
"168",2000,9,"Czech Republic",61649492816.5201,10255063,0,"0"
"169",2000,25,"Denmark",164158800460.219,5339616,0,"0"
"170",2000,43,"Spain",595402616546.895,40567864,1,"0"
"171",2000,3,"Estonia",5685774808.80862,1396985,0,"1"
"172",2000,8,"Ethiopia",8242392103.68061,66537331,0,"0"
"173",2000,5,"Finland",125539893126.958,5176209,0,"0"
"174",2000,66,"France",1362248940482.77,60912500,0,"0"
"175",2000,55,"United Kingdom",1647951278559.54,58892514,0,"0"
"176",2000,6,"Georgia",3057453482.55826,4418300,0,"1"
"177",2000,119,"Germany",1949953934033.54,82211508,0,"0"
"178",2000,18,"Greece",130133845771.144,10805808,1,"0"
"179",2000,53,"Hungary",47310623887.2319,10210971,0,"1"
"180",2000,8,"Indonesia",165021012077.81,211540429,0,"0"
"181",2000,1,"India",462146799337.698,1053050912,0,"0"
"182",2000,4,"Iran",109591707802.23,66131854,0,"0"
"183",2000,1,"Ireland",99853528653.0311,3805174,0,"0"
"184",2000,1,"Iceland",8927140438.33316,281205,0,"0"
"185",2000,1,"Israel",132339311284.428,6289000,0,"0"
"186",2000,65,"Italy",1141759996314.72,56942108,0,"0"
"187",2000,23,"Jamaica",8985352831.94058,2656864,0,"0"
"188",2000,43,"Japan",4887519660744.86,126843000,0,"0"
"189",2000,7,"Kazakhstan",18291990619.137,14883626,0,"1"
"190",2000,7,"Kenya",12705357103.0056,31450483,0,"0"
"191",2000,1,"Kyrgyzstan",1369693171.43504,4898400,0,"1"
"192",2000,73,"South Korea",561633125839.994,47008111,0,"0"
"193",2000,2,"Saudi Arabia",189514926213.333,20764312,0,"0"
"194",2000,1,"Kuwait",37711864406.7797,2050741,0,"0"
"195",2000,3,"Latvia",7937758980.30127,2367550,0,"1"
"196",2000,17,"Lithuania",11539211480.3625,3499536,0,"1"
